run_id,source,season,ptype,variant,out_file,dino_sim,ssim,clip_season_prob,clip_directional,structure_score,season_score,disqualified,score,gen_time_sec
20260707-080432,levir_val_1.png,deep_winter,kontext_guide,0,levir_val_1__deep_winter__kontext_guide__v0.png,0.4746,0.1984,0.8533,0.3089,0.4194,0.7539,False,0.5532,18.208
20260707-080432,levir_val_1.png,deep_winter,contextual,0,levir_val_1__deep_winter__contextual__v0.png,0.4486,0.1853,0.8956,0.3096,0.396,0.7752,False,0.5477,18.12
20260707-080432,levir_val_7.png,deep_winter,kontext_guide,0,levir_val_7__deep_winter__kontext_guide__v0.png,0.608,0.2348,0.8933,0.2233,0.5334,0.7525,False,0.621,18.126
20260707-080432,levir_val_7.png,deep_winter,contextual,0,levir_val_7__deep_winter__contextual__v0.png,0.6466,0.2426,0.8916,0.2601,0.5658,0.7608,False,0.6438,18.129
20260707-080432,levir_val_13.png,deep_winter,kontext_guide,0,levir_val_13__deep_winter__kontext_guide__v0.png,0.7142,0.1797,0.9228,0.2395,0.6073,0.7713,False,0.6729,18.124
20260707-080432,levir_val_13.png,deep_winter,contextual,0,levir_val_13__deep_winter__contextual__v0.png,0.6885,0.2121,0.9482,0.234,0.5932,0.7826,False,0.669,18.124
20260707-080432,levir_val_19.png,deep_winter,kontext_guide,0,levir_val_19__deep_winter__kontext_guide__v0.png,0.68,0.0205,0.9219,0.2337,0.5481,0.7694,False,0.6366,18.126
20260707-080432,levir_val_19.png,deep_winter,contextual,0,levir_val_19__deep_winter__contextual__v0.png,0.6424,0.016,0.9364,0.2317,0.5171,0.7761,False,0.6207,18.128
20260707-080432,levir_val_25.png,deep_winter,kontext_guide,0,levir_val_25__deep_winter__kontext_guide__v0.png,0.8404,0.4537,0.6548,0.2919,0.7631,0.6504,False,0.718,18.126
20260707-080432,levir_val_25.png,deep_winter,contextual,0,levir_val_25__deep_winter__contextual__v0.png,0.8601,0.4612,0.67,0.2838,0.7803,0.656,False,0.7306,18.127
20260707-080432,levir_val_31.png,deep_winter,kontext_guide,0,levir_val_31__deep_winter__kontext_guide__v0.png,0.7646,0.3924,0.9426,0.2787,0.6902,0.7909,False,0.7305,18.129
20260707-080432,levir_val_31.png,deep_winter,contextual,0,levir_val_31__deep_winter__contextual__v0.png,0.8106,0.4046,0.9131,0.2886,0.7294,0.7787,False,0.7491,18.121
20260707-080432,levir_val_37.png,deep_winter,kontext_guide,0,levir_val_37__deep_winter__kontext_guide__v0.png,0.6653,0.1108,0.894,0.3023,0.5544,0.7726,False,0.6417,18.121
20260707-080432,levir_val_37.png,deep_winter,contextual,0,levir_val_37__deep_winter__contextual__v0.png,0.695,0.1234,0.775,0.2793,0.5807,0.7073,False,0.6313,18.124
20260707-080432,levir_val_43.png,deep_winter,kontext_guide,0,levir_val_43__deep_winter__kontext_guide__v0.png,0.4356,0.3063,0.8165,0.3189,0.4098,0.738,False,0.5411,18.122
20260707-080432,levir_val_43.png,deep_winter,contextual,0,levir_val_43__deep_winter__contextual__v0.png,0.4764,0.3382,0.7516,0.306,0.4487,0.7023,False,0.5502,18.12
20260707-080432,levir_val_49.png,deep_winter,kontext_guide,0,levir_val_49__deep_winter__kontext_guide__v0.png,0.5223,0.1802,0.7705,0.3064,0.4539,0.7118,False,0.5571,18.128
20260707-080432,levir_val_49.png,deep_winter,contextual,0,levir_val_49__deep_winter__contextual__v0.png,0.6006,0.177,0.7905,0.2982,0.5159,0.7198,False,0.5975,18.126
20260707-080432,levir_val_55.png,deep_winter,kontext_guide,0,levir_val_55__deep_winter__kontext_guide__v0.png,0.7586,0.369,0.5181,0.2868,0.6807,0.5808,False,0.6407,18.123
20260707-080432,levir_val_55.png,deep_winter,contextual,0,levir_val_55__deep_winter__contextual__v0.png,0.7412,0.3753,0.4465,0.2758,0.668,0.5422,False,0.6177,18.126
