run_id,source,season,ptype,variant,out_file,dino_sim,ssim,clip_season_prob,clip_directional,structure_score,season_score,disqualified,score,gen_time_sec,manual_score,manual_comment
20260706-212001,levir_val_1.png,summer,contextual,0,levir_val_1__summer__contextual__v0.png,0.7483,0.1945,0.9941,,0.6375,0.9941,False,0.7802,430.925,,
20260706-212001,levir_val_1.png,summer,kontext_guide,0,levir_val_1__summer__kontext_guide__v0.png,0.6565,0.0998,0.942,,0.5452,0.942,False,0.7039,87.711,,
20260706-212001,levir_val_1.png,autumn,contextual,0,levir_val_1__autumn__contextual__v0.png,0.6732,0.1488,0.9799,0.1638,0.5683,0.7809,False,0.6533,86.801,,
20260706-212001,levir_val_1.png,autumn,kontext_guide,0,levir_val_1__autumn__kontext_guide__v0.png,0.6417,0.1063,0.9894,0.1684,0.5346,0.7868,False,0.6355,86.775,,
20260706-212001,levir_val_1.png,winter,contextual,0,levir_val_1__winter__contextual__v0.png,0.6846,0.2638,0.6461,0.2585,0.6004,0.6377,False,0.6153,86.638,,
20260706-212001,levir_val_1.png,winter,kontext_guide,0,levir_val_1__winter__kontext_guide__v0.png,0.7599,0.1832,0.632,0.2478,0.6446,0.628,False,0.6379,86.437,,
20260706-212001,levir_val_1.png,deep_winter,contextual,0,levir_val_1__deep_winter__contextual__v0.png,0.6296,0.2337,0.5943,0.3083,0.5504,0.6242,False,0.5799,86.582,,
20260706-212001,levir_val_1.png,deep_winter,kontext_guide,0,levir_val_1__deep_winter__kontext_guide__v0.png,0.5257,0.1542,0.7418,0.2879,0.4514,0.6929,False,0.548,86.356,,
20260706-212001,levir_val_7.png,summer,contextual,0,levir_val_7__summer__contextual__v0.png,0.9563,0.5348,0.9605,,0.872,0.9605,False,0.9074,86.464,,
20260706-212001,levir_val_7.png,summer,kontext_guide,0,levir_val_7__summer__kontext_guide__v0.png,0.8412,0.2223,0.956,,0.7174,0.956,False,0.8128,86.461,,
20260706-212001,levir_val_7.png,autumn,contextual,0,levir_val_7__autumn__contextual__v0.png,0.8789,0.3599,0.9997,0.1801,0.7751,0.7949,False,0.783,86.255,,
20260706-212001,levir_val_7.png,autumn,kontext_guide,0,levir_val_7__autumn__kontext_guide__v0.png,0.7975,0.2227,0.9961,0.1321,0.6826,0.7811,False,0.722,86.214,,
20260706-212001,levir_val_7.png,winter,contextual,0,levir_val_7__winter__contextual__v0.png,0.9347,0.4431,0.418,0.2113,0.8364,0.5118,False,0.7066,86.11,,
20260706-212001,levir_val_7.png,winter,kontext_guide,0,levir_val_7__winter__kontext_guide__v0.png,0.9019,0.4203,0.3664,0.2419,0.8056,0.4937,False,0.6808,86.122,,
20260706-212001,levir_val_7.png,deep_winter,contextual,0,levir_val_7__deep_winter__contextual__v0.png,0.6998,0.3989,0.7695,0.1476,0.6397,0.6717,False,0.6525,86.221,,
20260706-212001,levir_val_7.png,deep_winter,kontext_guide,0,levir_val_7__deep_winter__kontext_guide__v0.png,0.6926,0.3588,0.6383,0.175,0.6258,0.6129,False,0.6206,86.363,,
20260706-212001,levir_val_19.png,summer,contextual,0,levir_val_19__summer__contextual__v0.png,0.775,0.1729,0.8762,,0.6546,0.8762,False,0.7432,86.425,,
20260706-212001,levir_val_19.png,summer,kontext_guide,0,levir_val_19__summer__kontext_guide__v0.png,0.7209,0.0321,0.9931,,0.5832,0.9931,False,0.7471,86.042,,
20260706-212001,levir_val_19.png,autumn,contextual,0,levir_val_19__autumn__contextual__v0.png,0.7851,0.0902,0.9931,0.1553,0.6461,0.7854,False,0.7018,86.381,,
20260706-212001,levir_val_19.png,autumn,kontext_guide,0,levir_val_19__autumn__kontext_guide__v0.png,0.7208,0.0866,0.9967,0.1423,0.5939,0.7839,False,0.6699,86.251,,
20260706-212001,levir_val_19.png,winter,contextual,0,levir_val_19__winter__contextual__v0.png,0.686,0.3631,0.4917,0.1739,0.6214,0.5393,False,0.5886,86.048,,
20260706-212001,levir_val_19.png,winter,kontext_guide,0,levir_val_19__winter__kontext_guide__v0.png,0.7012,0.2669,0.3992,0.1752,0.6143,0.4934,False,0.566,86.235,,
20260706-212001,levir_val_19.png,deep_winter,contextual,0,levir_val_19__deep_winter__contextual__v0.png,0.5737,0.0205,0.5236,0.1671,0.463,0.5536,False,0.4993,86.117,,
20260706-212001,levir_val_19.png,deep_winter,kontext_guide,0,levir_val_19__deep_winter__kontext_guide__v0.png,0.447,0.0247,0.6868,0.2088,0.3625,0.6456,False,0.4757,86.075,,
20260706-212001,levir_val_49.png,summer,contextual,0,levir_val_49__summer__contextual__v0.png,0.9562,0.4834,0.9408,,0.8616,0.9408,False,0.8933,86.291,,
20260706-212001,levir_val_49.png,summer,kontext_guide,0,levir_val_49__summer__kontext_guide__v0.png,0.9104,0.342,0.9167,,0.7967,0.9167,False,0.8447,86.109,,
20260706-212001,levir_val_49.png,autumn,contextual,0,levir_val_49__autumn__contextual__v0.png,0.8777,0.4764,0.9977,0.2306,0.7974,0.8065,False,0.801,86.39,,
20260706-212001,levir_val_49.png,autumn,kontext_guide,0,levir_val_49__autumn__kontext_guide__v0.png,0.8482,0.6035,0.9989,0.2272,0.7993,0.8062,False,0.8021,86.395,,
20260706-212001,levir_val_49.png,winter,contextual,0,levir_val_49__winter__contextual__v0.png,0.8733,0.3885,0.7313,0.269,0.7764,0.6829,False,0.739,85.775,,
20260706-212001,levir_val_49.png,winter,kontext_guide,0,levir_val_49__winter__kontext_guide__v0.png,0.8466,0.3417,0.7352,0.2695,0.7456,0.685,False,0.7213,86.471,,
20260706-212001,levir_val_49.png,deep_winter,contextual,0,levir_val_49__deep_winter__contextual__v0.png,0.6754,0.233,0.7041,0.2926,0.5869,0.6752,False,0.6222,86.101,,
20260706-212001,levir_val_49.png,deep_winter,kontext_guide,0,levir_val_49__deep_winter__kontext_guide__v0.png,0.6448,0.212,0.692,0.2771,0.5583,0.6653,False,0.6011,86.263,,
