run_id,source,season,ptype,variant,out_file,dino_sim,ssim,clip_season_prob,clip_directional,structure_score,season_score,disqualified,score,gen_time_sec,manual_score,manual_comment
20260707-011957,levir_val_1.png,summer,kontext_guide,0,levir_val_1__summer__kontext_guide__v0.png,0.8488,0.7121,0.9972,,0.8215,0.9972,False,0.8917,18.152,,
20260707-011957,levir_val_1.png,summer,contextual,0,levir_val_1__summer__contextual__v0.png,0.9197,0.7903,0.9923,,0.8938,0.9923,False,0.9332,18.029,,
20260707-011957,levir_val_1.png,summer,decomposed,0,levir_val_1__summer__decomposed__v0.png,0.9003,0.7346,0.9954,,0.8671,0.9954,False,0.9184,18.059,,
20260707-011957,levir_val_1.png,summer,step_back,0,levir_val_1__summer__step_back__v0.png,0.901,0.6875,0.9913,,0.8583,0.9913,False,0.9115,18.076,,
20260707-011957,levir_val_1.png,autumn,kontext_guide,0,levir_val_1__autumn__kontext_guide__v0.png,0.7512,0.4102,0.9716,0.1637,0.683,0.7767,False,0.7205,18.09,,
20260707-011957,levir_val_1.png,autumn,contextual,0,levir_val_1__autumn__contextual__v0.png,0.7421,0.362,0.9593,0.1514,0.6661,0.7675,False,0.7067,18.098,,
20260707-011957,levir_val_1.png,autumn,decomposed,0,levir_val_1__autumn__decomposed__v0.png,0.749,0.3584,0.9559,0.1488,0.6708,0.7651,False,0.7085,18.109,,
20260707-011957,levir_val_1.png,autumn,step_back,0,levir_val_1__autumn__step_back__v0.png,0.7695,0.4214,0.9787,0.184,0.6999,0.7854,False,0.7341,18.113,,
20260707-011957,levir_val_1.png,winter,kontext_guide,0,levir_val_1__winter__kontext_guide__v0.png,0.8247,0.377,0.6389,0.2045,0.7351,0.6206,False,0.6893,18.139,,
20260707-011957,levir_val_1.png,winter,contextual,0,levir_val_1__winter__contextual__v0.png,0.7817,0.3461,0.6869,0.2145,0.6946,0.6471,False,0.6756,18.151,,
20260707-011957,levir_val_1.png,winter,decomposed,0,levir_val_1__winter__decomposed__v0.png,0.7682,0.3408,0.8247,0.2568,0.6827,0.7266,False,0.7003,18.154,,
20260707-011957,levir_val_1.png,winter,step_back,0,levir_val_1__winter__step_back__v0.png,0.8267,0.364,0.8163,0.2488,0.7342,0.7203,False,0.7286,18.159,,
20260707-011957,levir_val_1.png,deep_winter,kontext_guide,0,levir_val_1__deep_winter__kontext_guide__v0.png,0.4913,0.2135,0.8394,0.3091,0.4357,0.747,False,0.5602,18.155,,
20260707-011957,levir_val_1.png,deep_winter,contextual,0,levir_val_1__deep_winter__contextual__v0.png,0.471,0.2004,0.866,0.3038,0.4169,0.759,False,0.5537,18.151,,
20260707-011957,levir_val_1.png,deep_winter,decomposed,0,levir_val_1__deep_winter__decomposed__v0.png,0.4551,0.1789,0.9112,0.3114,0.3998,0.7834,False,0.5533,18.152,,
20260707-011957,levir_val_1.png,deep_winter,step_back,0,levir_val_1__deep_winter__step_back__v0.png,0.4397,0.1878,0.9126,0.3101,0.3893,0.7838,False,0.5471,18.153,,
20260707-011957,levir_val_10.png,summer,kontext_guide,0,levir_val_10__summer__kontext_guide__v0.png,0.884,0.5226,0.9595,,0.8117,0.9595,False,0.8708,18.153,,
20260707-011957,levir_val_10.png,summer,contextual,0,levir_val_10__summer__contextual__v0.png,0.8765,0.4394,0.9787,,0.7891,0.9787,False,0.8649,18.152,,
20260707-011957,levir_val_10.png,summer,decomposed,0,levir_val_10__summer__decomposed__v0.png,0.9,0.066,0.9766,,0.7332,0.9766,False,0.8306,18.154,,
20260707-011957,levir_val_10.png,summer,step_back,0,levir_val_10__summer__step_back__v0.png,0.8874,0.0735,0.9694,,0.7246,0.9694,False,0.8225,18.154,,
20260707-011957,levir_val_10.png,autumn,kontext_guide,0,levir_val_10__autumn__kontext_guide__v0.png,0.8093,0.3421,0.9997,0.2347,0.7159,0.8085,False,0.7529,18.152,,
20260707-011957,levir_val_10.png,autumn,contextual,0,levir_val_10__autumn__contextual__v0.png,0.8032,0.0363,0.9901,0.1965,0.6498,0.7942,False,0.7076,18.154,,
20260707-011957,levir_val_10.png,autumn,decomposed,0,levir_val_10__autumn__decomposed__v0.png,0.8071,0.0282,0.9968,0.1798,0.6513,0.7933,False,0.7081,18.149,,
20260707-011957,levir_val_10.png,autumn,step_back,0,levir_val_10__autumn__step_back__v0.png,0.8354,0.042,0.999,0.2362,0.6767,0.8086,False,0.7295,18.154,,
20260707-011957,levir_val_10.png,winter,kontext_guide,0,levir_val_10__winter__kontext_guide__v0.png,0.6135,0.1703,0.0864,0.2594,0.5248,0.3581,False,0.4581,18.154,,
20260707-011957,levir_val_10.png,winter,contextual,0,levir_val_10__winter__contextual__v0.png,0.6472,0.1826,0.3162,0.28,0.5542,0.4781,False,0.5238,18.155,,
20260707-011957,levir_val_10.png,winter,decomposed,0,levir_val_10__winter__decomposed__v0.png,0.629,0.1443,0.382,0.2747,0.532,0.5097,False,0.5231,18.154,,
20260707-011957,levir_val_10.png,winter,step_back,0,levir_val_10__winter__step_back__v0.png,0.7375,0.2743,0.4144,0.2647,0.6449,0.5234,False,0.5963,18.152,,
20260707-011957,levir_val_10.png,deep_winter,kontext_guide,0,levir_val_10__deep_winter__kontext_guide__v0.png,0.568,0.1516,0.8999,0.2604,0.4847,0.7651,False,0.5969,18.153,,
20260707-011957,levir_val_10.png,deep_winter,contextual,0,levir_val_10__deep_winter__contextual__v0.png,0.6247,0.0626,0.8387,0.2683,0.5123,0.7364,False,0.602,18.153,,
20260707-011957,levir_val_10.png,deep_winter,decomposed,0,levir_val_10__deep_winter__decomposed__v0.png,0.5961,0.054,0.8302,0.2595,0.4877,0.73,False,0.5846,18.158,,
20260707-011957,levir_val_10.png,deep_winter,step_back,0,levir_val_10__deep_winter__step_back__v0.png,0.6065,0.0657,0.8445,0.3163,0.4984,0.7513,False,0.5996,18.158,,
20260707-011957,levir_val_12.png,summer,kontext_guide,0,levir_val_12__summer__kontext_guide__v0.png,0.9735,0.7683,0.9875,,0.9325,0.9875,False,0.9545,18.149,,
20260707-011957,levir_val_12.png,summer,contextual,0,levir_val_12__summer__contextual__v0.png,0.9863,0.7876,0.9801,,0.9465,0.9801,False,0.96,18.154,,
20260707-011957,levir_val_12.png,summer,decomposed,0,levir_val_12__summer__decomposed__v0.png,0.9845,0.7786,0.9856,,0.9433,0.9856,False,0.9602,18.151,,
20260707-011957,levir_val_12.png,summer,step_back,0,levir_val_12__summer__step_back__v0.png,0.9895,0.7933,0.9812,,0.9502,0.9812,False,0.9626,18.153,,
20260707-011957,levir_val_12.png,autumn,kontext_guide,0,levir_val_12__autumn__kontext_guide__v0.png,0.8518,0.44,0.9996,0.2616,0.7694,0.8152,False,0.7877,18.151,,
20260707-011957,levir_val_12.png,autumn,contextual,0,levir_val_12__autumn__contextual__v0.png,0.8726,0.2952,1.0,0.294,0.7571,0.8235,False,0.7836,18.154,,
20260707-011957,levir_val_12.png,autumn,decomposed,0,levir_val_12__autumn__decomposed__v0.png,0.8669,0.3008,1.0,0.2947,0.7537,0.8237,False,0.7817,18.153,,
20260707-011957,levir_val_12.png,autumn,step_back,0,levir_val_12__autumn__step_back__v0.png,0.9,0.4013,0.9999,0.2934,0.8003,0.8233,False,0.8095,18.16,,
20260707-011957,levir_val_12.png,winter,kontext_guide,0,levir_val_12__winter__kontext_guide__v0.png,0.8649,0.7441,0.1925,0.2661,0.8407,0.4128,False,0.6696,18.149,,
20260707-011957,levir_val_12.png,winter,contextual,0,levir_val_12__winter__contextual__v0.png,0.8874,0.7457,0.1688,0.2694,0.859,0.4017,False,0.6761,18.152,,
20260707-011957,levir_val_12.png,winter,decomposed,0,levir_val_12__winter__decomposed__v0.png,0.9236,0.6355,0.2508,0.2896,0.866,0.4478,False,0.6987,18.155,,
20260707-011957,levir_val_12.png,winter,step_back,0,levir_val_12__winter__step_back__v0.png,0.8862,0.7692,0.2032,0.2803,0.8628,0.4217,False,0.6863,18.153,,
20260707-011957,levir_val_12.png,deep_winter,kontext_guide,0,levir_val_12__deep_winter__kontext_guide__v0.png,0.4792,0.266,0.9663,0.2679,0.4365,0.8001,False,0.582,18.155,,
20260707-011957,levir_val_12.png,deep_winter,contextual,0,levir_val_12__deep_winter__contextual__v0.png,0.4391,0.2477,0.9596,0.2702,0.4008,0.7973,False,0.5594,18.152,,
20260707-011957,levir_val_12.png,deep_winter,decomposed,0,levir_val_12__deep_winter__decomposed__v0.png,0.4589,0.2792,0.9601,0.2687,0.423,0.7972,False,0.5727,18.154,,
20260707-011957,levir_val_12.png,deep_winter,step_back,0,levir_val_12__deep_winter__step_back__v0.png,0.3757,0.2072,0.9635,0.2694,0.342,0.7991,False,0.5249,18.155,,
20260707-011957,levir_val_14.png,summer,kontext_guide,0,levir_val_14__summer__kontext_guide__v0.png,0.9761,0.7936,0.9616,,0.9396,0.9616,False,0.9484,18.15,,
20260707-011957,levir_val_14.png,summer,contextual,0,levir_val_14__summer__contextual__v0.png,0.979,0.7936,0.9616,,0.9419,0.9616,False,0.9498,18.156,,
20260707-011957,levir_val_14.png,summer,decomposed,0,levir_val_14__summer__decomposed__v0.png,0.9781,0.7918,0.9614,,0.9409,0.9614,False,0.9491,18.154,,
20260707-011957,levir_val_14.png,summer,step_back,0,levir_val_14__summer__step_back__v0.png,0.9796,0.7905,0.9645,,0.9418,0.9645,False,0.9508,18.151,,
20260707-011957,levir_val_14.png,autumn,kontext_guide,0,levir_val_14__autumn__kontext_guide__v0.png,0.9499,0.7315,0.6898,0.0854,0.9062,0.6163,False,0.7903,18.151,,
20260707-011957,levir_val_14.png,autumn,contextual,0,levir_val_14__autumn__contextual__v0.png,0.9696,0.7589,0.4295,0.1019,0.9275,0.4902,False,0.7526,18.152,,
20260707-011957,levir_val_14.png,autumn,decomposed,0,levir_val_14__autumn__decomposed__v0.png,0.9633,0.7481,0.358,0.1038,0.9203,0.455,False,0.7342,18.152,,
20260707-011957,levir_val_14.png,autumn,step_back,0,levir_val_14__autumn__step_back__v0.png,0.9796,0.7705,0.3154,0.1011,0.9378,0.433,False,0.7359,18.147,,
20260707-011957,levir_val_14.png,winter,kontext_guide,0,levir_val_14__winter__kontext_guide__v0.png,0.8079,0.7324,0.2874,0.1524,0.7928,0.4318,False,0.6484,18.147,,
20260707-011957,levir_val_14.png,winter,contextual,0,levir_val_14__winter__contextual__v0.png,0.8583,0.7774,0.3243,0.2206,0.8421,0.4673,False,0.6922,18.151,,
20260707-011957,levir_val_14.png,winter,decomposed,0,levir_val_14__winter__decomposed__v0.png,0.9695,0.7892,0.2695,0.1467,0.9335,0.4214,False,0.7286,18.15,,
20260707-011957,levir_val_14.png,winter,step_back,0,levir_val_14__winter__step_back__v0.png,0.9959,0.7922,0.1333,0.0584,0.9552,0.3312,False,0.7056,18.149,,
20260707-011957,levir_val_14.png,deep_winter,kontext_guide,0,levir_val_14__deep_winter__kontext_guide__v0.png,0.4739,0.1695,0.9587,0.1986,0.413,0.779,False,0.5594,18.154,,
20260707-011957,levir_val_14.png,deep_winter,contextual,0,levir_val_14__deep_winter__contextual__v0.png,0.4418,0.1748,0.9403,0.2174,0.3884,0.7745,False,0.5428,18.153,,
20260707-011957,levir_val_14.png,deep_winter,decomposed,0,levir_val_14__deep_winter__decomposed__v0.png,0.588,0.1465,0.8985,0.1864,0.4997,0.7458,False,0.5982,18.155,,
20260707-011957,levir_val_14.png,deep_winter,step_back,0,levir_val_14__deep_winter__step_back__v0.png,0.4364,0.0562,0.7946,0.1541,0.3604,0.6858,False,0.4905,18.152,,
20260707-011957,levir_val_15.png,summer,kontext_guide,0,levir_val_15__summer__kontext_guide__v0.png,0.9117,0.7875,0.991,,0.8868,0.991,False,0.9285,18.151,,
20260707-011957,levir_val_15.png,summer,contextual,0,levir_val_15__summer__contextual__v0.png,0.9425,0.7904,0.9894,,0.9121,0.9894,False,0.943,18.152,,
