run_id,source,season,ptype,variant,out_file,dino_sim,ssim,clip_season_prob,clip_directional,structure_score,season_score,disqualified,score,gen_time_sec,manual_score,manual_comment
20260706-131826,levir_val_1.png,summer,zero_shot,0,levir_val_1__summer__zero_shot__v0.png,0.777,0.0668,0.9976,,0.635,0.9976,False,0.78,18.143,,
20260706-131826,levir_val_1.png,summer,contextual,0,levir_val_1__summer__contextual__v0.png,0.8674,0.7264,0.9951,,0.8392,0.9951,False,0.9016,18.048,,
20260706-131826,levir_val_1.png,summer,positive,0,levir_val_1__summer__positive__v0.png,0.8347,0.6018,0.9976,,0.7881,0.9976,False,0.8719,18.091,,
20260706-131826,levir_val_1.png,summer,negative,0,levir_val_1__summer__negative__v0.png,0.8138,0.2435,0.9973,,0.6997,0.9973,False,0.8188,36.082,,
20260706-131826,levir_val_1.png,summer,few_shot,0,levir_val_1__summer__few_shot__v0.png,0.7868,0.4043,0.997,,0.7103,0.997,False,0.825,18.152,,
20260706-131826,levir_val_1.png,summer,cot,0,levir_val_1__summer__cot__v0.png,0.8256,0.5777,0.9977,,0.776,0.9977,False,0.8647,18.155,,
20260706-131826,levir_val_1.png,summer,kontext_guide,0,levir_val_1__summer__kontext_guide__v0.png,0.8513,0.7217,0.9976,,0.8254,0.9976,False,0.8943,18.155,,
20260706-131826,levir_val_1.png,summer,hybrid,0,levir_val_1__summer__hybrid__v0.png,0.7919,0.1557,0.9976,,0.6647,0.9976,False,0.7978,36.107,,
20260706-131826,levir_val_1.png,autumn,zero_shot,0,levir_val_1__autumn__zero_shot__v0.png,0.7342,0.3686,0.7519,0.1068,0.6611,0.6526,False,0.6577,18.151,,
20260706-131826,levir_val_1.png,autumn,contextual,0,levir_val_1__autumn__contextual__v0.png,0.7404,0.3654,0.9567,0.1493,0.6654,0.7657,False,0.7055,18.155,,
20260706-131826,levir_val_1.png,autumn,positive,0,levir_val_1__autumn__positive__v0.png,0.731,0.2997,0.9548,0.1367,0.6447,0.7616,False,0.6915,18.153,,
20260706-131826,levir_val_1.png,autumn,negative,0,levir_val_1__autumn__negative__v0.png,0.6665,0.0946,0.9974,0.1974,0.5521,0.798,False,0.6505,36.115,,
20260706-131826,levir_val_1.png,autumn,few_shot,0,levir_val_1__autumn__few_shot__v0.png,0.7757,0.4495,0.9847,0.1976,0.7105,0.7917,False,0.743,18.15,,
20260706-131826,levir_val_1.png,autumn,cot,0,levir_val_1__autumn__cot__v0.png,0.7723,0.3712,0.9549,0.1648,0.6921,0.7687,False,0.7227,18.155,,
20260706-131826,levir_val_1.png,autumn,kontext_guide,0,levir_val_1__autumn__kontext_guide__v0.png,0.7491,0.3868,0.9644,0.1595,0.6766,0.7721,False,0.7148,18.151,,
20260706-131826,levir_val_1.png,autumn,hybrid,0,levir_val_1__autumn__hybrid__v0.png,0.7114,0.0901,0.9994,0.2159,0.5871,0.8037,False,0.6738,36.115,,
20260706-131826,levir_val_1.png,winter,zero_shot,0,levir_val_1__winter__zero_shot__v0.png,0.5667,0.2913,0.2495,0.2851,0.5116,0.446,False,0.4854,18.152,,
20260706-131826,levir_val_1.png,winter,contextual,0,levir_val_1__winter__contextual__v0.png,0.6863,0.3191,0.3235,0.225,0.6129,0.468,False,0.5549,18.152,,
20260706-131826,levir_val_1.png,winter,positive,0,levir_val_1__winter__positive__v0.png,0.5767,0.3569,0.2948,0.2122,0.5327,0.4505,False,0.4998,18.153,,
20260706-131826,levir_val_1.png,winter,negative,0,levir_val_1__winter__negative__v0.png,0.5328,0.155,0.1494,0.1721,0.4572,0.3677,False,0.4214,36.115,,
20260706-131826,levir_val_1.png,winter,few_shot,0,levir_val_1__winter__few_shot__v0.png,0.7025,0.4443,0.4218,0.2254,0.6509,0.5172,False,0.5974,18.15,,
20260706-131826,levir_val_1.png,winter,cot,0,levir_val_1__winter__cot__v0.png,0.5456,0.3801,0.2813,0.2263,0.5125,0.4472,False,0.4864,18.153,,
20260706-131826,levir_val_1.png,winter,kontext_guide,0,levir_val_1__winter__kontext_guide__v0.png,0.6074,0.3287,0.3388,0.268,0.5517,0.4864,False,0.5256,18.15,,
20260706-131826,levir_val_1.png,winter,hybrid,0,levir_val_1__winter__hybrid__v0.png,0.4518,0.1253,0.1513,0.1838,0.3865,0.3716,False,0.3805,36.11,,
20260706-131826,levir_val_1.png,deep_winter,zero_shot,0,levir_val_1__deep_winter__zero_shot__v0.png,0.2411,0.0508,0.8912,0.2675,0.203,0.7625,True,0.0,18.148,,
20260706-131826,levir_val_1.png,deep_winter,contextual,0,levir_val_1__deep_winter__contextual__v0.png,0.4516,0.1887,0.8907,0.31,0.399,0.7729,False,0.5486,18.152,,
20260706-131826,levir_val_1.png,deep_winter,positive,0,levir_val_1__deep_winter__positive__v0.png,0.4808,0.2018,0.8088,0.3018,0.425,0.7298,False,0.5469,18.159,,
20260706-131826,levir_val_1.png,deep_winter,negative,0,levir_val_1__deep_winter__negative__v0.png,0.4227,0.1274,0.9502,0.2875,0.3636,0.797,False,0.537,36.113,,
20260706-131826,levir_val_1.png,deep_winter,few_shot,0,levir_val_1__deep_winter__few_shot__v0.png,0.5361,0.2283,0.8249,0.3028,0.4745,0.7381,False,0.58,18.151,,
20260706-131826,levir_val_1.png,deep_winter,cot,0,levir_val_1__deep_winter__cot__v0.png,0.4688,0.1913,0.8743,0.2982,0.4133,0.7617,False,0.5527,18.152,,
20260706-131826,levir_val_1.png,deep_winter,kontext_guide,0,levir_val_1__deep_winter__kontext_guide__v0.png,0.4824,0.2076,0.8405,0.3074,0.4274,0.7471,False,0.5553,18.156,,
20260706-131826,levir_val_1.png,deep_winter,hybrid,0,levir_val_1__deep_winter__hybrid__v0.png,0.398,0.1228,0.9587,0.2974,0.343,0.8037,False,0.5273,36.112,,
20260706-131826,levir_val_13.png,summer,zero_shot,0,levir_val_13__summer__zero_shot__v0.png,0.9771,0.8165,0.9115,,0.945,0.9115,False,0.9316,18.149,,
20260706-131826,levir_val_13.png,summer,contextual,0,levir_val_13__summer__contextual__v0.png,0.9679,0.8142,0.9537,,0.9372,0.9537,False,0.9438,18.153,,
20260706-131826,levir_val_13.png,summer,positive,0,levir_val_13__summer__positive__v0.png,0.9255,0.7825,0.9778,,0.8969,0.9778,False,0.9293,18.15,,
20260706-131826,levir_val_13.png,summer,negative,0,levir_val_13__summer__negative__v0.png,0.869,0.2123,0.963,,0.7377,0.963,False,0.8278,36.111,,
20260706-131826,levir_val_13.png,summer,few_shot,0,levir_val_13__summer__few_shot__v0.png,0.8705,0.7253,0.9637,,0.8415,0.9637,False,0.8904,18.148,,
20260706-131826,levir_val_13.png,summer,cot,0,levir_val_13__summer__cot__v0.png,0.9417,0.8051,0.9746,,0.9144,0.9746,False,0.9385,18.151,,
20260706-131826,levir_val_13.png,summer,kontext_guide,0,levir_val_13__summer__kontext_guide__v0.png,0.923,0.8008,0.9788,,0.8986,0.9788,False,0.9307,18.145,,
20260706-131826,levir_val_13.png,summer,hybrid,0,levir_val_13__summer__hybrid__v0.png,0.8311,0.0581,0.9705,,0.6765,0.9705,False,0.7941,36.107,,
20260706-131826,levir_val_13.png,autumn,zero_shot,0,levir_val_13__autumn__zero_shot__v0.png,0.9585,0.7539,0.3308,0.075,0.9176,0.4341,False,0.7242,18.152,,
20260706-131826,levir_val_13.png,autumn,contextual,0,levir_val_13__autumn__contextual__v0.png,0.9002,0.5755,0.964,0.1602,0.8353,0.7721,False,0.81,18.153,,
20260706-131826,levir_val_13.png,autumn,positive,0,levir_val_13__autumn__positive__v0.png,0.8569,0.4642,0.9809,0.1564,0.7784,0.7795,False,0.7788,18.15,,
20260706-131826,levir_val_13.png,autumn,negative,0,levir_val_13__autumn__negative__v0.png,0.7702,0.0257,0.9675,0.1254,0.6213,0.7651,False,0.6788,36.107,,
20260706-131826,levir_val_13.png,autumn,few_shot,0,levir_val_13__autumn__few_shot__v0.png,0.9037,0.6538,0.973,0.1911,0.8537,0.7843,False,0.8259,18.15,,
20260706-131826,levir_val_13.png,autumn,cot,0,levir_val_13__autumn__cot__v0.png,0.8925,0.6152,0.9648,0.1679,0.837,0.7744,False,0.812,18.154,,
20260706-131826,levir_val_13.png,autumn,kontext_guide,0,levir_val_13__autumn__kontext_guide__v0.png,0.9251,0.7052,0.9474,0.1777,0.8811,0.7681,False,0.8359,18.153,,
20260706-131826,levir_val_13.png,autumn,hybrid,0,levir_val_13__autumn__hybrid__v0.png,0.7792,0.0128,0.9832,0.1353,0.6259,0.7754,False,0.6857,36.111,,
20260706-131826,levir_val_13.png,winter,zero_shot,0,levir_val_13__winter__zero_shot__v0.png,0.7791,0.4764,0.1858,0.1738,0.7186,0.3863,False,0.5857,18.155,,
20260706-131826,levir_val_13.png,winter,contextual,0,levir_val_13__winter__contextual__v0.png,0.742,0.4554,0.1244,0.178,0.6847,0.3567,False,0.5535,18.157,,
20260706-131826,levir_val_13.png,winter,positive,0,levir_val_13__winter__positive__v0.png,0.734,0.3888,0.0672,0.2028,0.665,0.3343,False,0.5327,18.154,,
20260706-131826,levir_val_13.png,winter,negative,0,levir_val_13__winter__negative__v0.png,0.5873,0.0982,0.0546,0.1858,0.4895,0.3237,False,0.4232,36.11,,
20260706-131826,levir_val_13.png,winter,few_shot,0,levir_val_13__winter__few_shot__v0.png,0.6989,0.4642,0.0591,0.2036,0.652,0.3305,False,0.5234,18.15,,
