run_id,source,season,ptype,variant,out_file,dino_sim,ssim,clip_season_prob,clip_directional,structure_score,season_score,disqualified,score,gen_time_sec,manual_score,manual_comment
20260706-203526,levir_val_1.png,summer,step_back,0,levir_val_1__summer__step_back__v0.png,0.901,0.6875,0.9913,,0.8583,0.9913,False,0.9115,18.156,,
20260706-203526,levir_val_1.png,summer,decomposed,0,levir_val_1__summer__decomposed__v0.png,0.9003,0.7346,0.9954,,0.8671,0.9954,False,0.9184,18.025,,
20260706-203526,levir_val_1.png,autumn,step_back,0,levir_val_1__autumn__step_back__v0.png,0.7695,0.4214,0.9787,0.184,0.6999,0.7854,False,0.7341,18.056,,
20260706-203526,levir_val_1.png,autumn,decomposed,0,levir_val_1__autumn__decomposed__v0.png,0.749,0.3584,0.9559,0.1488,0.6708,0.7651,False,0.7085,18.07,,
20260706-203526,levir_val_1.png,winter,step_back,0,levir_val_1__winter__step_back__v0.png,0.6718,0.2721,0.3242,0.2158,0.5918,0.4661,False,0.5415,18.078,,
20260706-203526,levir_val_1.png,winter,decomposed,0,levir_val_1__winter__decomposed__v0.png,0.699,0.2972,0.5,0.1853,0.6187,0.5463,False,0.5897,18.081,,
20260706-203526,levir_val_1.png,deep_winter,step_back,0,levir_val_1__deep_winter__step_back__v0.png,0.4397,0.1878,0.9126,0.3101,0.3893,0.7838,False,0.5471,18.084,,
20260706-203526,levir_val_1.png,deep_winter,decomposed,0,levir_val_1__deep_winter__decomposed__v0.png,0.4551,0.1789,0.9112,0.3114,0.3998,0.7834,False,0.5533,18.089,,
20260706-203526,levir_val_13.png,summer,step_back,0,levir_val_13__summer__step_back__v0.png,0.9703,0.8087,0.9535,,0.9379,0.9535,False,0.9442,18.088,,
20260706-203526,levir_val_13.png,summer,decomposed,0,levir_val_13__summer__decomposed__v0.png,0.972,0.8143,0.9489,,0.9404,0.9489,False,0.9438,18.092,,
20260706-203526,levir_val_13.png,autumn,step_back,0,levir_val_13__autumn__step_back__v0.png,0.9087,0.6545,0.9479,0.1681,0.8579,0.766,False,0.8211,18.091,,
20260706-203526,levir_val_13.png,autumn,decomposed,0,levir_val_13__autumn__decomposed__v0.png,0.9106,0.542,0.9849,0.1683,0.8369,0.7845,False,0.8159,18.093,,
20260706-203526,levir_val_13.png,winter,step_back,0,levir_val_13__winter__step_back__v0.png,0.6764,0.3675,0.0832,0.1997,0.6146,0.3415,False,0.5054,18.096,,
