ptype,n,mean_score,mean_structure,mean_season,mean_dino,mean_ssim,mean_clip_prob,mean_clip_dir,n_disqualified,std_score
kontext_guide,40,0.7515,0.7675,0.7275,0.8262,0.5325,0.7581,0.2204,0,0.1324
contextual,40,0.7427,0.7454,0.7387,0.8168,0.4597,0.7871,0.2108,0,0.1308
step_back,40,0.7427,0.7533,0.7267,0.8228,0.4753,0.7633,0.2089,0,0.1322
positive,40,0.7395,0.7398,0.739,0.8157,0.4362,0.7855,0.2094,0,0.1237
decomposed,40,0.7367,0.7358,0.7381,0.811,0.435,0.7851,0.2123,0,0.1317
cot,40,0.7336,0.7377,0.7274,0.8074,0.4587,0.7634,0.2063,0,0.1216
hybrid,40,0.7298,0.7235,0.7392,0.8019,0.4101,0.7864,0.2084,0,0.1286
few_shot,40,0.722,0.7531,0.6752,0.8257,0.4628,0.7023,0.2073,0,0.1206
negative,40,0.6686,0.6207,0.7683,0.7132,0.2511,0.8339,0.221,1,0.1587
zero_shot,40,0.5266,0.6294,0.6718,0.6953,0.366,0.6732,0.1786,11,0.3502
