run_id,source,season,ptype,variant,out_file,dino_sim,ssim,clip_season_prob,clip_directional,structure_score,season_score,disqualified,score,gen_time_sec,manual_score,manual_comment
20260707-003754,levir_val_1.png,summer,kontext_guide,0,levir_val_1__summer__kontext_guide__v0.png,0.8514,0.7282,0.9967,,0.8268,0.9967,False,0.8947,18.149,,
20260707-003754,levir_val_1.png,summer,contextual,0,levir_val_1__summer__contextual__v0.png,0.9477,0.8158,0.9913,,0.9213,0.9913,False,0.9493,18.035,,
20260707-003754,levir_val_1.png,autumn,kontext_guide,0,levir_val_1__autumn__kontext_guide__v0.png,0.7265,0.4264,0.9931,0.1802,0.6664,0.7916,False,0.7165,18.062,,
20260707-003754,levir_val_1.png,autumn,contextual,0,levir_val_1__autumn__contextual__v0.png,0.7311,0.3712,0.978,0.1591,0.6591,0.7788,False,0.707,18.083,,
20260707-003754,levir_val_1.png,winter,kontext_guide,0,levir_val_1__winter__kontext_guide__v0.png,0.9161,0.5703,0.6398,0.2334,0.8469,0.6282,False,0.7595,18.091,,
20260707-003754,levir_val_1.png,winter,contextual,0,levir_val_1__winter__contextual__v0.png,0.8129,0.3412,0.7112,0.2403,0.7185,0.6657,False,0.6974,18.099,,
20260707-003754,levir_val_1.png,deep_winter,kontext_guide,0,levir_val_1__deep_winter__kontext_guide__v0.png,0.5155,0.2166,0.7559,0.2745,0.4557,0.6966,False,0.5521,18.106,,
20260707-003754,levir_val_1.png,deep_winter,contextual,0,levir_val_1__deep_winter__contextual__v0.png,0.4836,0.1815,0.8269,0.2741,0.4231,0.732,False,0.5467,18.108,,
20260707-003754,levir_val_7.png,summer,kontext_guide,0,levir_val_7__summer__kontext_guide__v0.png,0.9602,0.7672,0.7323,,0.9216,0.7323,False,0.8459,18.11,,
20260707-003754,levir_val_7.png,summer,contextual,0,levir_val_7__summer__contextual__v0.png,0.9845,0.7183,0.6873,,0.9313,0.6873,False,0.8337,18.115,,
20260707-003754,levir_val_7.png,autumn,kontext_guide,0,levir_val_7__autumn__kontext_guide__v0.png,0.8786,0.508,0.9984,0.1274,0.8045,0.7811,False,0.7951,18.117,,
20260707-003754,levir_val_7.png,autumn,contextual,0,levir_val_7__autumn__contextual__v0.png,0.8876,0.5043,0.9991,0.1454,0.8109,0.7859,False,0.8009,18.12,,
20260707-003754,levir_val_7.png,winter,kontext_guide,0,levir_val_7__winter__kontext_guide__v0.png,0.8787,0.4641,0.2416,0.1703,0.7958,0.4134,False,0.6428,18.118,,
20260707-003754,levir_val_7.png,winter,contextual,0,levir_val_7__winter__contextual__v0.png,0.8984,0.4399,0.2511,0.1658,0.8067,0.417,False,0.6508,18.12,,
20260707-003754,levir_val_7.png,deep_winter,kontext_guide,0,levir_val_7__deep_winter__kontext_guide__v0.png,0.6601,0.2583,0.8916,0.2443,0.5798,0.7569,False,0.6506,18.12,,
20260707-003754,levir_val_7.png,deep_winter,contextual,0,levir_val_7__deep_winter__contextual__v0.png,0.5973,0.236,0.8791,0.1762,0.525,0.7336,False,0.6085,18.121,,
20260707-003754,levir_val_13.png,summer,kontext_guide,0,levir_val_13__summer__kontext_guide__v0.png,0.9351,0.8087,0.9725,,0.9099,0.9725,False,0.9349,18.118,,
20260707-003754,levir_val_13.png,summer,contextual,0,levir_val_13__summer__contextual__v0.png,0.9872,0.8204,0.9325,,0.9539,0.9325,False,0.9453,18.116,,
20260707-003754,levir_val_13.png,autumn,kontext_guide,0,levir_val_13__autumn__kontext_guide__v0.png,0.9715,0.794,0.4413,0.105,0.936,0.4969,False,0.7603,18.12,,
20260707-003754,levir_val_13.png,autumn,contextual,0,levir_val_13__autumn__contextual__v0.png,0.9076,0.6996,0.927,0.1575,0.866,0.7529,False,0.8207,18.119,,
20260707-003754,levir_val_13.png,winter,kontext_guide,0,levir_val_13__winter__kontext_guide__v0.png,0.9001,0.7788,0.2007,0.1947,0.8759,0.399,False,0.6851,18.12,,
20260707-003754,levir_val_13.png,winter,contextual,0,levir_val_13__winter__contextual__v0.png,0.8923,0.7574,0.2342,0.1394,0.8653,0.4019,False,0.68,18.116,,
