run_id,source,season,ptype,variant,out_file,dino_sim,ssim,clip_season_prob,clip_directional,structure_score,season_score,disqualified,score,gen_time_sec,manual_score,manual_comment
20260706-153716,levir_val_1.png,summer,zero_shot,0,levir_val_1__summer__zero_shot__v0.png,0.9421,0.481,0.9914,,0.8499,0.9914,False,0.9065,2.649,,
20260706-153716,levir_val_1.png,summer,contextual,0,levir_val_1__summer__contextual__v0.png,0.9476,0.5005,0.9809,,0.8582,0.9809,False,0.9073,0.66,,
20260706-153716,levir_val_1.png,summer,positive,0,levir_val_1__summer__positive__v0.png,0.941,0.5095,0.9838,,0.8547,0.9838,False,0.9063,0.66,,
20260706-153716,levir_val_1.png,summer,negative,0,levir_val_1__summer__negative__v0.png,0.8373,0.5041,0.9845,,0.7707,0.9845,False,0.8562,0.661,,
20260706-153716,levir_val_1.png,summer,few_shot,0,levir_val_1__summer__few_shot__v0.png,0.9422,0.5139,0.9913,,0.8565,0.9913,False,0.9104,0.66,,
20260706-153716,levir_val_1.png,summer,cot,0,levir_val_1__summer__cot__v0.png,0.9105,0.5096,0.9916,,0.8303,0.9916,False,0.8948,0.661,,
20260706-153716,levir_val_1.png,summer,kontext_guide,0,levir_val_1__summer__kontext_guide__v0.png,0.8696,0.4349,0.9951,,0.7827,0.9951,False,0.8676,0.661,,
20260706-153716,levir_val_1.png,summer,hybrid,0,levir_val_1__summer__hybrid__v0.png,0.8439,0.4995,0.9829,,0.775,0.9829,False,0.8581,0.66,,
20260706-153716,levir_val_1.png,autumn,zero_shot,0,levir_val_1__autumn__zero_shot__v0.png,0.9745,0.4785,0.0137,0.0252,0.8753,0.2631,False,0.6304,0.66,,
20260706-153716,levir_val_1.png,autumn,contextual,0,levir_val_1__autumn__contextual__v0.png,0.9616,0.4733,0.0394,0.0589,0.8639,0.2844,False,0.6321,0.661,,
20260706-153716,levir_val_1.png,autumn,positive,0,levir_val_1__autumn__positive__v0.png,0.9168,0.4737,0.06,0.0671,0.8282,0.2967,False,0.6156,0.66,,
20260706-153716,levir_val_1.png,autumn,negative,0,levir_val_1__autumn__negative__v0.png,0.9251,0.4702,0.2744,0.1056,0.8341,0.4136,False,0.6659,0.66,,
20260706-153716,levir_val_1.png,autumn,few_shot,0,levir_val_1__autumn__few_shot__v0.png,0.9477,0.4775,0.1126,0.0877,0.8537,0.3282,False,0.6435,0.66,,
20260706-153716,levir_val_1.png,autumn,cot,0,levir_val_1__autumn__cot__v0.png,0.9581,0.4722,0.1169,0.089,0.8609,0.3307,False,0.6488,0.66,,
20260706-153716,levir_val_1.png,autumn,kontext_guide,0,levir_val_1__autumn__kontext_guide__v0.png,0.9262,0.4731,0.0305,0.0492,0.8356,0.2776,False,0.6124,0.66,,
20260706-153716,levir_val_1.png,autumn,hybrid,0,levir_val_1__autumn__hybrid__v0.png,0.9411,0.4649,0.2006,0.1011,0.8458,0.3756,False,0.6577,0.661,,
20260706-153716,levir_val_1.png,winter,zero_shot,0,levir_val_1__winter__zero_shot__v0.png,0.6057,0.4653,0.4773,0.1852,0.5776,0.535,False,0.5605,0.66,,
20260706-153716,levir_val_1.png,winter,contextual,0,levir_val_1__winter__contextual__v0.png,0.7309,0.4733,0.5727,0.1982,0.6794,0.5859,False,0.642,0.661,,
20260706-153716,levir_val_1.png,winter,positive,0,levir_val_1__winter__positive__v0.png,0.8858,0.4279,0.7261,0.2495,0.7942,0.6754,False,0.7467,0.661,,
20260706-153716,levir_val_1.png,winter,negative,0,levir_val_1__winter__negative__v0.png,0.6848,0.4255,0.6296,0.2032,0.6329,0.6156,False,0.626,0.662,,
20260706-153716,levir_val_1.png,winter,few_shot,0,levir_val_1__winter__few_shot__v0.png,0.9622,0.4983,0.0007,-0.0579,0.8694,0.2359,False,0.616,0.662,,
20260706-153716,levir_val_1.png,winter,cot,0,levir_val_1__winter__cot__v0.png,0.7335,0.487,0.2106,0.1793,0.6842,0.4001,False,0.5706,0.66,,
20260706-153716,levir_val_1.png,winter,kontext_guide,0,levir_val_1__winter__kontext_guide__v0.png,0.562,0.2218,0.687,0.2779,0.494,0.663,False,0.5616,0.66,,
20260706-153716,levir_val_1.png,winter,hybrid,0,levir_val_1__winter__hybrid__v0.png,0.7437,0.4351,0.4472,0.1976,0.682,0.523,False,0.6184,0.66,,
20260706-153716,levir_val_1.png,deep_winter,zero_shot,0,levir_val_1__deep_winter__zero_shot__v0.png,0.7248,0.4982,0.0364,0.1987,0.6795,0.3179,False,0.5348,0.659,,
20260706-153716,levir_val_1.png,deep_winter,contextual,0,levir_val_1__deep_winter__contextual__v0.png,0.7074,0.4126,0.2784,0.2056,0.6484,0.4406,False,0.5653,0.66,,
20260706-153716,levir_val_1.png,deep_winter,positive,0,levir_val_1__deep_winter__positive__v0.png,0.6763,0.4352,0.3231,0.2038,0.6281,0.4625,False,0.5618,0.66,,
20260706-153716,levir_val_1.png,deep_winter,negative,0,levir_val_1__deep_winter__negative__v0.png,0.6597,0.3885,0.26,0.205,0.6055,0.4313,False,0.5358,0.66,,
20260706-153716,levir_val_1.png,deep_winter,few_shot,0,levir_val_1__deep_winter__few_shot__v0.png,0.7934,0.4882,0.0078,0.1543,0.7324,0.2925,False,0.5564,0.661,,
20260706-153716,levir_val_1.png,deep_winter,cot,0,levir_val_1__deep_winter__cot__v0.png,0.7581,0.4631,0.026,0.1739,0.6991,0.3065,False,0.542,0.66,,
