run_id,source,season,ptype,variant,out_file,dino_sim,ssim,clip_season_prob,clip_directional,structure_score,season_score,disqualified,score,gen_time_sec,manual_score,manual_comment
20260706-152810,levir_val_1.png,summer,zero_shot,0,levir_val_1__summer__zero_shot__v0.png,0.8938,0.1844,0.9905,,0.752,0.9905,False,0.8474,3.371,,
20260706-152810,levir_val_1.png,summer,contextual,0,levir_val_1__summer__contextual__v0.png,0.8914,0.1782,0.9816,,0.7488,0.9816,False,0.8419,1.458,,
20260706-152810,levir_val_1.png,summer,positive,0,levir_val_1__summer__positive__v0.png,0.9021,0.1778,0.988,,0.7572,0.988,False,0.8495,1.451,,
20260706-152810,levir_val_1.png,summer,negative,0,levir_val_1__summer__negative__v0.png,0.9153,0.1784,0.9921,,0.7679,0.9921,False,0.8576,1.456,,
20260706-152810,levir_val_1.png,summer,few_shot,0,levir_val_1__summer__few_shot__v0.png,0.8769,0.1808,0.9797,,0.7377,0.9797,False,0.8345,1.447,,
20260706-152810,levir_val_1.png,summer,cot,0,levir_val_1__summer__cot__v0.png,0.9082,0.1774,0.9793,,0.762,0.9793,False,0.8489,1.446,,
20260706-152810,levir_val_1.png,summer,kontext_guide,0,levir_val_1__summer__kontext_guide__v0.png,0.8471,0.1806,0.9868,,0.7138,0.9868,False,0.823,1.444,,
20260706-152810,levir_val_1.png,summer,hybrid,0,levir_val_1__summer__hybrid__v0.png,0.9156,0.1787,0.9932,,0.7682,0.9932,False,0.8582,1.452,,
20260706-152810,levir_val_1.png,autumn,zero_shot,0,levir_val_1__autumn__zero_shot__v0.png,0.8944,0.1827,0.0625,0.0752,0.7521,0.3001,False,0.5713,1.443,,
20260706-152810,levir_val_1.png,autumn,contextual,0,levir_val_1__autumn__contextual__v0.png,0.894,0.1779,0.1908,0.1176,0.7508,0.3748,False,0.6004,1.443,,
20260706-152810,levir_val_1.png,autumn,positive,0,levir_val_1__autumn__positive__v0.png,0.887,0.1772,0.7239,0.175,0.745,0.6557,False,0.7093,1.444,,
20260706-152810,levir_val_1.png,autumn,negative,0,levir_val_1__autumn__negative__v0.png,0.877,0.1784,0.8134,0.22,0.7372,0.7117,False,0.727,1.451,,
20260706-152810,levir_val_1.png,autumn,few_shot,0,levir_val_1__autumn__few_shot__v0.png,0.8674,0.1788,0.0993,0.1037,0.7297,0.3256,False,0.568,1.442,,
