run_id,source,season,ptype,variant,out_file,dino_sim,ssim,clip_season_prob,clip_directional,structure_score,season_score,disqualified,score,gen_time_sec
20260707-110602,levir_val_1.png,summer,zero_shot,0,levir_val_1__summer__zero_shot__v0.png,0.629,0.1451,0.9681,,0.5322,0.9681,False,0.7066,1.636
20260707-110602,levir_val_1.png,summer,contextual,0,levir_val_1__summer__contextual__v0.png,0.8708,0.1438,0.9686,,0.7254,0.9686,False,0.8227,1.326
20260707-110602,levir_val_1.png,summer,positive,0,levir_val_1__summer__positive__v0.png,0.885,0.1413,0.9839,,0.7362,0.9839,False,0.8353,1.324
20260707-110602,levir_val_1.png,summer,negative,0,levir_val_1__summer__negative__v0.png,0.9053,0.1383,0.9815,,0.7519,0.9815,False,0.8437,1.332
20260707-110602,levir_val_1.png,summer,few_shot,0,levir_val_1__summer__few_shot__v0.png,0.8248,0.1311,0.7814,,0.6861,0.7814,False,0.7242,1.319
20260707-110602,levir_val_1.png,summer,cot,0,levir_val_1__summer__cot__v0.png,0.8701,0.1376,0.9692,,0.7236,0.9692,False,0.8218,1.322
20260707-110602,levir_val_1.png,summer,kontext_guide,0,levir_val_1__summer__kontext_guide__v0.png,0.7623,0.1334,0.9738,,0.6365,0.9738,False,0.7714,1.319
20260707-110602,levir_val_1.png,summer,hybrid,0,levir_val_1__summer__hybrid__v0.png,0.8724,0.1433,0.9602,,0.7266,0.9602,False,0.82,1.316
20260707-110602,levir_val_1.png,autumn,zero_shot,0,levir_val_1__autumn__zero_shot__v0.png,0.8166,0.1374,0.9639,0.1949,0.6808,0.7806,False,0.7207,1.314
20260707-110602,levir_val_1.png,autumn,contextual,0,levir_val_1__autumn__contextual__v0.png,0.8462,0.144,0.9822,0.2315,0.7058,0.799,False,0.743,1.316
20260707-110602,levir_val_1.png,autumn,positive,0,levir_val_1__autumn__positive__v0.png,0.8607,0.1392,0.9105,0.1725,0.7164,0.7484,False,0.7292,1.312
20260707-110602,levir_val_1.png,autumn,negative,0,levir_val_1__autumn__negative__v0.png,0.8745,0.1398,0.9877,0.2072,0.7276,0.7957,False,0.7548,1.321
20260707-110602,levir_val_1.png,autumn,few_shot,0,levir_val_1__autumn__few_shot__v0.png,0.7446,0.1308,0.8958,0.144,0.6219,0.7339,False,0.6667,1.316
20260707-110602,levir_val_1.png,autumn,cot,0,levir_val_1__autumn__cot__v0.png,0.8494,0.1397,0.9717,0.1829,0.7075,0.7816,False,0.7371,1.313
20260707-110602,levir_val_1.png,autumn,kontext_guide,0,levir_val_1__autumn__kontext_guide__v0.png,0.7378,0.1383,0.9061,0.1534,0.6179,0.7414,False,0.6673,1.314
20260707-110602,levir_val_1.png,autumn,hybrid,0,levir_val_1__autumn__hybrid__v0.png,0.8648,0.1402,0.9612,0.1908,0.7199,0.7783,False,0.7432,1.313
20260707-110602,levir_val_1.png,winter,zero_shot,0,levir_val_1__winter__zero_shot__v0.png,0.5604,0.1332,0.4664,0.1684,0.4749,0.5253,False,0.4951,1.312
20260707-110602,levir_val_1.png,winter,contextual,0,levir_val_1__winter__contextual__v0.png,0.8635,0.1501,0.0012,-0.0229,0.7208,0.2449,False,0.5304,1.313
20260707-110602,levir_val_1.png,winter,positive,0,levir_val_1__winter__positive__v0.png,0.8567,0.1466,0.0032,0.0141,0.7147,0.2551,False,0.5309,1.315
20260707-110602,levir_val_1.png,winter,negative,0,levir_val_1__winter__negative__v0.png,0.654,0.1429,0.3773,0.1461,0.5518,0.4752,False,0.5211,1.323
20260707-110602,levir_val_1.png,winter,few_shot,0,levir_val_1__winter__few_shot__v0.png,0.8372,0.1305,0.0008,-0.0073,0.6958,0.2486,False,0.5169,1.315
20260707-110602,levir_val_1.png,winter,cot,0,levir_val_1__winter__cot__v0.png,0.8455,0.137,0.0036,0.0185,0.7038,0.2564,False,0.5249,1.314
20260707-110602,levir_val_1.png,winter,kontext_guide,0,levir_val_1__winter__kontext_guide__v0.png,0.8523,0.1378,0.0034,0.0189,0.7094,0.2564,False,0.5282,1.313
20260707-110602,levir_val_1.png,winter,hybrid,0,levir_val_1__winter__hybrid__v0.png,0.8783,0.1491,0.0017,-0.009,0.7325,0.2486,False,0.5389,1.314
20260707-110602,levir_val_1.png,deep_winter,zero_shot,0,levir_val_1__deep_winter__zero_shot__v0.png,0.6898,0.1339,0.4123,0.1847,0.5786,0.5023,False,0.5481,1.313
20260707-110602,levir_val_1.png,deep_winter,contextual,0,levir_val_1__deep_winter__contextual__v0.png,0.7696,0.1322,0.0372,0.1081,0.6421,0.2956,False,0.5035,1.315
20260707-110602,levir_val_1.png,deep_winter,positive,0,levir_val_1__deep_winter__positive__v0.png,0.7773,0.1276,0.1023,0.1353,0.6473,0.3349,False,0.5224,1.315
20260707-110602,levir_val_1.png,deep_winter,negative,0,levir_val_1__deep_winter__negative__v0.png,0.5835,0.1391,0.5724,0.1677,0.4946,0.5781,False,0.528,1.321
20260707-110602,levir_val_1.png,deep_winter,few_shot,0,levir_val_1__deep_winter__few_shot__v0.png,0.7017,0.127,0.0005,0.0424,0.5867,0.2608,False,0.4564,1.315
