run_id,source,season,ptype,variant,out_file,dino_sim,ssim,clip_season_prob,clip_directional,structure_score,season_score,disqualified,score,gen_time_sec
20260707-104904,levir_val_1.png,autumn,positive,0,levir_val_1__autumn__positive__v0.png,0.7352,0.1038,0.9886,0.1624,0.609,0.7849,False,0.6793,1.945
20260707-104904,levir_val_1.png,winter,positive,0,levir_val_1__winter__positive__v0.png,0.717,0.0899,0.2609,0.1613,0.5916,0.4208,False,0.5233,1.633
20260707-104904,levir_val_1.png,deep_winter,positive,0,levir_val_1__deep_winter__positive__v0.png,0.5415,0.0966,0.5495,0.2921,0.4525,0.5978,False,0.5106,1.634
20260707-104904,levir_val_7.png,autumn,positive,0,levir_val_7__autumn__positive__v0.png,0.7526,0.2109,0.9956,0.132,0.6443,0.7808,False,0.6989,1.631
20260707-104904,levir_val_7.png,winter,positive,0,levir_val_7__winter__positive__v0.png,0.7183,0.1753,0.5806,0.1325,0.6097,0.5734,False,0.5952,1.63
20260707-104904,levir_val_7.png,deep_winter,positive,0,levir_val_7__deep_winter__positive__v0.png,0.7272,0.1295,0.3754,0.0927,0.6077,0.4609,False,0.5489,1.631
20260707-104904,levir_val_19.png,autumn,positive,0,levir_val_19__autumn__positive__v0.png,0.5271,0.0434,0.9896,0.1085,0.4304,0.7719,False,0.567,1.63
20260707-104904,levir_val_19.png,winter,positive,0,levir_val_19__winter__positive__v0.png,0.6846,0.0473,0.7206,0.1238,0.5572,0.6412,False,0.5908,1.632
20260707-104904,levir_val_19.png,deep_winter,positive,0,levir_val_19__deep_winter__positive__v0.png,0.5982,0.0471,0.2421,0.1,0.488,0.396,False,0.4512,1.63
20260707-104904,levir_val_49.png,autumn,positive,0,levir_val_49__autumn__positive__v0.png,0.7078,0.1038,0.9995,0.1884,0.587,0.7969,False,0.671,1.632
20260707-104904,levir_val_49.png,winter,positive,0,levir_val_49__winter__positive__v0.png,0.815,0.0998,0.2019,0.0737,0.6719,0.3694,False,0.5509,1.631
20260707-104904,levir_val_49.png,deep_winter,positive,0,levir_val_49__deep_winter__positive__v0.png,0.6944,0.085,0.4093,0.2016,0.5725,0.505,False,0.5455,1.633
