run_id,source,season,ptype,variant,out_file,dino_sim,ssim,clip_season_prob,clip_directional,structure_score,season_score,disqualified,score,gen_time_sec,manual_score,manual_comment
20260707-041848,levir_val_1.png,summer,kontext_guide,0,levir_val_1__summer__kontext_guide__v0.png,0.8455,0.6147,0.9958,,0.7993,0.9958,False,0.8779,18.147,,
20260707-041848,levir_val_1.png,summer,kontext_guide,1,levir_val_1__summer__kontext_guide__v1.png,0.8546,0.6865,0.9973,,0.821,0.9973,False,0.8915,18.071,,
20260707-041848,levir_val_1.png,summer,contextual,0,levir_val_1__summer__contextual__v0.png,0.8465,0.6221,0.9929,,0.8016,0.9929,False,0.8781,18.131,,
20260707-041848,levir_val_1.png,summer,contextual,1,levir_val_1__summer__contextual__v1.png,0.9535,0.7821,0.9936,,0.9192,0.9936,False,0.949,18.146,,
20260707-041848,levir_val_1.png,autumn,kontext_guide,0,levir_val_1__autumn__kontext_guide__v0.png,0.754,0.4875,0.9775,0.1602,0.7007,0.7788,False,0.732,18.152,,
20260707-041848,levir_val_1.png,autumn,kontext_guide,1,levir_val_1__autumn__kontext_guide__v1.png,0.7487,0.4562,0.9932,0.1909,0.6902,0.7943,False,0.7319,18.154,,
20260707-041848,levir_val_1.png,autumn,contextual,0,levir_val_1__autumn__contextual__v0.png,0.75,0.4248,0.9519,0.1442,0.6849,0.762,False,0.7158,18.156,,
20260707-041848,levir_val_1.png,autumn,contextual,1,levir_val_1__autumn__contextual__v1.png,0.7454,0.429,0.9912,0.1841,0.6821,0.7917,False,0.7259,18.155,,
20260707-041848,levir_val_1.png,winter,kontext_guide,0,levir_val_1__winter__kontext_guide__v0.png,0.7639,0.5227,0.4635,0.2926,0.7156,0.5549,False,0.6513,18.152,,
20260707-041848,levir_val_1.png,winter,kontext_guide,1,levir_val_1__winter__kontext_guide__v1.png,0.613,0.348,0.3862,0.2363,0.56,0.5022,False,0.5369,18.146,,
20260707-041848,levir_val_1.png,winter,contextual,0,levir_val_1__winter__contextual__v0.png,0.9404,0.6795,0.6833,0.2314,0.8882,0.6495,False,0.7927,18.144,,
20260707-041848,levir_val_1.png,winter,contextual,1,levir_val_1__winter__contextual__v1.png,0.6302,0.47,0.296,0.1662,0.5982,0.4395,False,0.5347,18.155,,
20260707-041848,levir_val_1.png,deep_winter,kontext_guide,0,levir_val_1__deep_winter__kontext_guide__v0.png,0.5278,0.2264,0.8729,0.2948,0.4675,0.7602,False,0.5846,18.154,,
20260707-041848,levir_val_1.png,deep_winter,kontext_guide,1,levir_val_1__deep_winter__kontext_guide__v1.png,0.4665,0.2033,0.9272,0.265,0.4138,0.7799,False,0.5602,18.15,,
20260707-041848,levir_val_1.png,deep_winter,contextual,0,levir_val_1__deep_winter__contextual__v0.png,0.5174,0.21,0.8922,0.2933,0.4559,0.7694,False,0.5813,18.148,,
20260707-041848,levir_val_1.png,deep_winter,contextual,1,levir_val_1__deep_winter__contextual__v1.png,0.4381,0.182,0.9328,0.2616,0.3869,0.7818,False,0.5448,18.152,,
20260707-041848,levir_val_7.png,summer,kontext_guide,0,levir_val_7__summer__kontext_guide__v0.png,0.919,0.6788,0.9046,,0.8709,0.9046,False,0.8844,18.152,,
20260707-041848,levir_val_7.png,summer,kontext_guide,1,levir_val_7__summer__kontext_guide__v1.png,0.9355,0.7412,0.7932,,0.8966,0.7932,False,0.8552,18.152,,
20260707-041848,levir_val_7.png,summer,contextual,0,levir_val_7__summer__contextual__v0.png,0.9675,0.6441,0.8826,,0.9028,0.8826,False,0.8948,18.15,,
20260707-041848,levir_val_7.png,summer,contextual,1,levir_val_7__summer__contextual__v1.png,0.9704,0.7092,0.794,,0.9182,0.794,False,0.8685,18.152,,
20260707-041848,levir_val_7.png,autumn,kontext_guide,0,levir_val_7__autumn__kontext_guide__v0.png,0.8725,0.4404,0.9963,0.0997,0.7861,0.7731,False,0.7809,18.153,,
20260707-041848,levir_val_7.png,autumn,kontext_guide,1,levir_val_7__autumn__kontext_guide__v1.png,0.8865,0.4876,0.9989,0.1351,0.8067,0.7832,False,0.7973,18.158,,
20260707-041848,levir_val_7.png,autumn,contextual,0,levir_val_7__autumn__contextual__v0.png,0.8667,0.4041,0.9934,0.0966,0.7742,0.7708,False,0.7729,18.152,,
20260707-041848,levir_val_7.png,autumn,contextual,1,levir_val_7__autumn__contextual__v1.png,0.9013,0.5108,0.9992,0.1515,0.8232,0.7875,False,0.8089,18.154,,
20260707-041848,levir_val_7.png,winter,kontext_guide,0,levir_val_7__winter__kontext_guide__v0.png,0.6875,0.3791,0.1835,0.2084,0.6258,0.3938,False,0.533,18.156,,
20260707-041848,levir_val_7.png,winter,kontext_guide,1,levir_val_7__winter__kontext_guide__v1.png,0.5913,0.4125,0.1612,0.2441,0.5555,0.3916,False,0.4899,18.157,,
20260707-041848,levir_val_7.png,winter,contextual,0,levir_val_7__winter__contextual__v0.png,0.6655,0.3161,0.1781,0.1891,0.5956,0.3863,False,0.5119,18.151,,
20260707-041848,levir_val_7.png,winter,contextual,1,levir_val_7__winter__contextual__v1.png,0.7889,0.4129,0.2291,0.1851,0.7137,0.4108,False,0.5925,18.159,,
20260707-041848,levir_val_7.png,deep_winter,kontext_guide,0,levir_val_7__deep_winter__kontext_guide__v0.png,0.6644,0.2964,0.9412,0.2712,0.5908,0.7884,False,0.6698,18.155,,
20260707-041848,levir_val_7.png,deep_winter,kontext_guide,1,levir_val_7__deep_winter__kontext_guide__v1.png,0.5988,0.3209,0.9287,0.2847,0.5432,0.7855,False,0.6401,18.152,,
20260707-041848,levir_val_7.png,deep_winter,contextual,0,levir_val_7__deep_winter__contextual__v0.png,0.6254,0.2331,0.8693,0.2379,0.547,0.7441,False,0.6258,18.151,,
20260707-041848,levir_val_7.png,deep_winter,contextual,1,levir_val_7__deep_winter__contextual__v1.png,0.5612,0.2777,0.8928,0.2758,0.5045,0.7654,False,0.6088,18.157,,
20260707-041848,levir_val_13.png,summer,kontext_guide,0,levir_val_13__summer__kontext_guide__v0.png,0.9238,0.7977,0.9798,,0.8986,0.9798,False,0.9311,18.146,,
20260707-041848,levir_val_13.png,summer,kontext_guide,1,levir_val_13__summer__kontext_guide__v1.png,0.9294,0.7862,0.9794,,0.9007,0.9794,False,0.9322,18.146,,
