run_id,source,season,ptype,variant,out_file,dino_sim,ssim,clip_season_prob,clip_directional,structure_score,season_score,disqualified,score,gen_time_sec,manual_score,manual_comment,experiment,run
20260706-210248,levir_val_1.png,winter,contextual,0,levir_val_1__winter__contextual__v0.png,0.7955,0.3416,0.6847,0.2263,0.7047,0.6489,False,0.6824,18.16,,,W1,20260706-210248
20260706-210248,levir_val_1.png,winter,kontext_guide,0,levir_val_1__winter__kontext_guide__v0.png,0.8389,0.4058,0.4297,0.1617,0.7523,0.5053,False,0.6535,18.03,,,W1,20260706-210248
20260706-210248,levir_val_7.png,winter,contextual,0,levir_val_7__winter__contextual__v0.png,0.8831,0.3596,0.2588,0.1415,0.7784,0.4148,False,0.633,18.058,,,W1,20260706-210248
20260706-210248,levir_val_7.png,winter,kontext_guide,0,levir_val_7__winter__kontext_guide__v0.png,0.8569,0.433,0.2641,0.14,0.7722,0.4171,False,0.6301,18.072,,,W1,20260706-210248
20260706-210248,levir_val_19.png,winter,contextual,0,levir_val_19__winter__contextual__v0.png,0.6575,-0.0103,0.222,0.1318,0.5239,0.394,False,0.472,18.086,,,W1,20260706-210248
20260706-210248,levir_val_19.png,winter,kontext_guide,0,levir_val_19__winter__kontext_guide__v0.png,0.6662,0.3659,0.3661,0.1533,0.6061,0.4714,False,0.5522,18.088,,,W1,20260706-210248
20260706-210248,levir_val_49.png,winter,contextual,0,levir_val_49__winter__contextual__v0.png,0.8444,0.449,0.4671,0.1942,0.7653,0.5321,False,0.672,18.092,,,W1,20260706-210248
20260706-210248,levir_val_49.png,winter,kontext_guide,0,levir_val_49__winter__kontext_guide__v0.png,0.9265,0.4919,0.3998,0.1573,0.8396,0.4892,False,0.6994,18.097,,,W1,20260706-210248
20260706-210535,levir_val_1.png,winter,contextual,0,levir_val_1__winter__contextual__v0.png,0.7817,0.3461,0.6869,0.2145,0.6946,0.6471,False,0.6756,18.17,,,W2,20260706-210535
20260706-210535,levir_val_1.png,winter,kontext_guide,0,levir_val_1__winter__kontext_guide__v0.png,0.8247,0.377,0.6389,0.2045,0.7351,0.6206,False,0.6893,18.066,,,W2,20260706-210535
20260706-210535,levir_val_7.png,winter,contextual,0,levir_val_7__winter__contextual__v0.png,0.8878,0.3624,0.266,0.1407,0.7827,0.4181,False,0.6369,18.097,,,W2,20260706-210535
20260706-210535,levir_val_7.png,winter,kontext_guide,0,levir_val_7__winter__kontext_guide__v0.png,0.7816,0.4155,0.2317,0.1701,0.7084,0.4084,False,0.5884,18.149,,,W2,20260706-210535
